ID,Tag,Reputation,Answers,Username,Views
259947,a,5308,3,147621,17623
223688,c,789,8,86078,445602
166022,a,1092,1,16488,4491
21088,a,28,3,159712,8221
173305,c,36839,4,44459,19182
19359,s,240,3,56640,1076
375709,p,25246,4,4096,89529
70795,c,16,4,93797,5484
79606,j,2166,2,104167,25276
188080,h,5067,1,55076,1762
74994,p,41,2,6306,8499
367361,c,198,12,160838,1164
357921,c,4363,5,102997,31496
237002,i,11,3,999,4134
168273,i,2596,3,35805,4269
430108,p,24681,3,53651,10986
280059,c,10805,4,53867,27303
168767,i,155,3,97994,8864
252096,j,123,3,56836,4950
221251,s,660,2,105159,114
349113,j,19,1,170712,2516
162205,j,8253,6,173732,2082
133591,s,96,2,37708,1119
168471,s,10170,3,148951,72219
223854,p,3271,1,108834,3087
389996,a,2864,1,32522,2152
192123,p,8409,1,84045,972
268204,x,6751,2,145496,672
155171,a,4993,2,93812,11369
104563,j,36,1,105325,1524
99867,j,138,5,88289,4987
89925,p,4852,5,72498,4378
140562,j,1623,2,77444,14730
462804,s,5595,3,42523,5027
380280,j,497,5,86547,13104
317206,j,4306,14,107477,675336
251471,p,1509,5,168958,32833
460019,a,5547,2,79452,12409
376987,r,88,1,3897,920
2873,c,5053,2,128573,79921
176888,s,1575,1,4761,1861
270210,c,286,8,161172,166534
164587,s,16,2,105651,3321
76880,s,1270,1,110335,1653
174867,a,2671,1,175312,15610
446342,j,357,4,125103,5637
277716,a,2963,1,172126,7623
58021,j,1218,2,94030,7777
450618,j,329,9,40458,46048
282308,a,171,2,164240,25421
261684,s,457,2,1881,7505
85927,c,246,3,30526,4527
191460,c,133,2,151508,27905
343468,p,3313,1,11881,86746
47619,r,2836,4,143446,8389
36474,a,963,5,22085,69018
264409,p,120,11,4118,61604
245009,i,154,9,68764,41634
189009,p,9610,1,117278,674
48718,j,1644,5,145919,17935
129369,j,11276,5,174001,36322
154165,j,65,2,113571,107
123533,p,13054,1,108699,7621
262801,p,2674,3,5667,106064
136642,h,991,1,53471,260
59797,p,1039,7,71104,32046
192214,j,7676,6,111627,11510
393212,i,1240,6,12074,53611
144765,c,146,3,75800,10678
212588,x,1709,3,23152,10700
374201,j,3353,3,141830,12296
262045,p,0,5,87499,5195
253983,c,768,3,167260,5114
305850,j,225,1,66304,137555
137248,i,12109,1,136045,3849
5645,j,0,3,159699,12896
39847,c,132,1,148049,7980
67874,r,2408,1,57037,31274
364400,j,10506,4,96781,3576
38992,r,740,1,127789,1138
308230,i,81,1,150638,1993
145542,c,9829,9,7343,31517
189758,i,27,2,144837,5836
309595,p,450,2,103152,9886
81745,c,8016,3,71493,10739
243772,a,1191,14,45253,192572
268559,o,1325,2,10964,4780
234789,j,3681,5,26988,3382
53419,c,686,5,140712,9877
154969,i,738,3,96401,3289
215040,j,11527,2,139712,57536
279348,s,51513,4,1747,34365
190722,j,5165,12,68815,94602
395831,h,3302,3,62051,49
318803,p,3166,1,33213,1368
334073,c,5407,3,26512,1761
374619,r,168,2,61292,11708
266392,i,206,3,145172,221
194398,c,2907,4,20280,17218
136490,h,53352,1,39771,20726
232430,s,2234,2,87994,3272
292058,j,29444,1,31095,580
336720,j,257,12,142182,72387
208730,c,915,2,71429,2071
337607,h,4839,3,112169,619
75869,a,797,8,6533,5776
414219,c,8594,3,16679,294243
149029,c,2755,3,87933,4335
396809,o,713,4,9373,15550
425440,i,3364,3,51946,35424
158705,j,322,4,57721,20154
168772,i,3585,1,8925,10081
366442,o,18420,2,4461,4322
93377,j,11985,10,41953,51349
468455,j,576,2,79407,7830
342833,i,9559,1,105932,10963
405862,p,27332,5,103871,7808
295485,c,8563,6,27992,8025
353865,i,825,7,108806,66503
186166,c,2902,6,89524,24922
235060,p,2816,6,145578,21048
160899,s,29229,9,35789,41903
293281,s,838,4,118622,4747
324535,a,6509,2,26569,1146
79313,s,3426,3,133339,606
311658,c,6,3,59362,642
104376,j,13,1,91552,4632
160429,p,1274,2,1486,36457
391984,a,1472,6,119195,16151
173141,p,593,1,106335,74234
345953,a,7390,1,90785,9632
437229,p,327041,13,104219,20610
372036,c,39,2,105794,1956
318341,p,15977,6,35130,38065
125928,a,721,8,2716,29828
450349,p,3799,3,53837,12857
